"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","590","TC-012 Add a single item and verify cart badge updates","chromium","2026-03-25","passed","2026-03-25","Shopping Cart Scenarios","cart.spec.js","",""
"","856","TC-018 Verify order summary math for multiple items","chromium","2026-03-25","passed","2026-03-25","Checkout Flow Scenarios","checkout.spec.js","",""
"","6327","TC-019 Performance glitch user - Login with smart wait","chromium","2026-03-25","passed","2026-03-25","Performance & Resilience Scenarios","performance.spec.js","",""
"","529","TC-002 Login failure with invalid credentials","chromium","2026-03-25","passed","2026-03-25","Authentication Scenarios","auth.spec.js","",""
"","826","TC-016 Complete a full purchase with valid details","chromium","2026-03-25","passed","2026-03-25","Checkout Flow Scenarios","checkout.spec.js","",""
"","530","TC-004 Login failure with SQL injection attempt","chromium","2026-03-25","passed","2026-03-25","Authentication Scenarios","auth.spec.js","",""
"","730","TC-003 Login failure with empty fields","chromium","2026-03-25","passed","2026-03-25","Authentication Scenarios","auth.spec.js","",""
"","714","TC-013 Add multiple items and verify all appear in cart","chromium","2026-03-25","passed","2026-03-25","Shopping Cart Scenarios","cart.spec.js","",""
"","515","TC-005 Locked-out user behaviour","chromium","2026-03-25","passed","2026-03-25","Authentication Scenarios","auth.spec.js","",""
"","677","TC-014 Remove an item from the cart and verify cart state","chromium","2026-03-25","passed","2026-03-25","Shopping Cart Scenarios","cart.spec.js","",""
"","1586","TC-015 Cart persists across page navigation","chromium","2026-03-25","passed","2026-03-25","Shopping Cart Scenarios","cart.spec.js","",""
"","654","TC-010 Sorting by Price Low-High and High-Low","chromium","2026-03-25","passed","2026-03-25","Product Catalog Scenarios","catalog.spec.js","",""
"","591","TC-008 Product listing loads correctly","chromium","2026-03-25","passed","2026-03-25","Product Catalog Scenarios","catalog.spec.js","",""
"","579","TC-009 Sorting by Name A-Z and Z-A","chromium","2026-03-25","passed","2026-03-25","Product Catalog Scenarios","catalog.spec.js","",""
"","791","TC-001 Successful login with valid credentials","chromium","2026-03-25","passed","2026-03-25","Authentication Scenarios","auth.spec.js","",""
"","639","TC-020 Error user - Verify failing actions","chromium","2026-03-25","passed","2026-03-25","Performance & Resilience Scenarios","performance.spec.js","",""
"","2903","TC-006 Logout behaviour","chromium","2026-03-25","passed","2026-03-25","Authentication Scenarios","auth.spec.js","",""
"","1287","TC-007 Session persistence check","chromium","2026-03-25","passed","2026-03-25","Authentication Scenarios","auth.spec.js","",""
"","1556","TC-011 Problem user visual regression - Detect broken images","chromium","2026-03-25","passed","2026-03-25","Product Catalog Scenarios","catalog.spec.js","",""
"","954","TC-017 Checkout blocked when required fields are missing","chromium","2026-03-25","passed","2026-03-25","Checkout Flow Scenarios","checkout.spec.js","",""
